,Unnamed: 0,FS,CP,metric,uncollateralized,vm_collateralized,im_vm_collateralized
0,0,0,0,BaselEEPE+,16411844.63,3200794.7299999995,579510.7399999999
1,1,0,0,BaselEEPE_rho+,0.1489773080285579,0.0789205664165105,0.06312391530519627
2,2,0,1,BaselEEPE+,7343252.069999998,1393728.43,166464.72
3,3,0,1,BaselEEPE_rho+,0.06665782855170348,0.034364539561208884,0.018132372985155056
4,4,0,2,BaselEEPE+,13335683.75,3757943.2900000005,1043078.46
5,5,0,2,BaselEEPE_rho+,0.12105368473715465,0.09265792967858487,0.11361859551682266
6,6,0,3,BaselEEPE+,10075900.49,4048582.79,260022.73
7,7,0,3,BaselEEPE_rho+,0.091463242847177,0.0998240980517162,0.028323293518159688
8,8,0,4,BaselEEPE+,7258305.59,3388712.65,1853264.87
9,9,0,4,BaselEEPE_rho+,0.06588673315065582,0.08355397465953537,0.20186913997827824
10,10,0,5,BaselEEPE+,13593692.58,3236668.43,779584.58
11,11,0,5,BaselEEPE_rho+,0.1233957408440432,0.07980508821883676,0.08491720274443408
12,12,0,6,BaselEEPE+,3493137.5700000008,1927097.81,54557.2
13,13,0,6,BaselEEPE_rho+,0.0317086984116799,0.047515590200067896,0.005942709658993818
14,14,0,7,BaselEEPE+,5920107.57,3608731.23,299325.82
15,15,0,7,BaselEEPE_rho+,0.05373933941623523,0.08897887454237051,0.032604430610446385
16,16,0,8,BaselEEPE+,6397303.88,1153137.2500000002,41372.65
17,17,0,8,BaselEEPE_rho+,0.05807105369136367,0.028432390266394037,0.0045065664435339535
18,18,0,9,BaselEEPE+,8301870.750000001,3058670.49,1129109.97
19,19,0,9,BaselEEPE_rho+,0.07535961884962257,0.07541627249313353,0.12298968284269025
20,20,0,10,BaselEEPE+,4968750.25,3736310.94,944020.34
21,21,0,10,BaselEEPE_rho+,0.04510346357764807,0.09212455048406208,0.10282856878294024
22,22,0,11,BaselEEPE+,7442406.96,2788157.13,478924.22
23,23,0,11,BaselEEPE_rho+,0.06755789974559387,0.06874634536711835,0.05216740573416672
24,24,0,12,BaselEEPE+,5621129.510000002,5258633.58,1551289.61
25,25,0,12,BaselEEPE_rho+,0.05102538814856468,0.12965978006046094,0.16897611587918282
26,26,1,0,BaselEEPE+,8100409.59,1701658.0,35830.55
27,27,1,0,BaselEEPE_rho+,0.08669201305933086,0.05191830084886745,0.005151148515034736
28,28,1,1,BaselEEPE+,3973324.51,1460671.13,221040.33
29,29,1,1,BaselEEPE_rho+,0.04252322015112811,0.04456569014960419,0.031777674851273224
30,30,1,2,BaselEEPE+,5401463.04,2115734.18,790605.16
31,31,1,2,BaselEEPE_rho+,0.057807410748864724,0.06455193915197524,0.11366067771532393
32,32,1,3,BaselEEPE+,6272958.14,1182932.39,27713.51
33,33,1,3,BaselEEPE_rho+,0.0671343051177139,0.036091764448490715,0.003984209170188576
34,34,1,4,BaselEEPE+,5981002.23,1664089.29,365636.71
35,35,1,4,BaselEEPE_rho+,0.0640097414421049,0.050772063715269586,0.05256545031429007
36,36,1,5,BaselEEPE+,715976.71,1827295.58,1056468.08
37,37,1,5,BaselEEPE_rho+,0.00766250911189995,0.05575155622472066,0.15188223405651316
38,38,1,6,BaselEEPE+,193796.5,458255.93,11135.85
39,39,1,6,BaselEEPE_rho+,0.002074044345806051,0.013981581045966664,0.0016009359943162905
40,40,1,7,BaselEEPE+,5788053.86,1102824.29,26482.13
41,41,1,7,BaselEEPE_rho+,0.06194477393324384,0.033647632645137066,0.003807180872871245
42,42,1,8,BaselEEPE+,11478165.47,2083384.96,44430.36
43,43,1,8,BaselEEPE_rho+,0.12284135262133088,0.06356495085221922,0.006387492877906108
44,44,1,9,BaselEEPE+,17502834.57,3390313.38,378568.54
45,45,1,9,BaselEEPE_rho+,0.1873184246128655,0.10343988629605988,0.05442458384422979
46,46,1,10,BaselEEPE+,8784398.96,4158986.47,1123180.89
47,47,1,10,BaselEEPE_rho+,0.094012188013161,0.12689242537327078,0.1614731443876494
48,48,1,11,BaselEEPE+,6576927.020000001,3638242.93,374931.22
49,49,1,11,BaselEEPE_rho+,0.07038743371841102,0.11100432108038454,0.053901667631201904
50,50,1,12,BaselEEPE+,9522488.45,4905065.62,1384731.84
51,51,1,12,BaselEEPE_rho+,0.10191135199926687,0.14965561384402534,0.19907479403295003
52,52,1,13,BaselEEPE+,3147138.45,3086233.27,1115081.94
53,53,1,13,BaselEEPE_rho+,0.033681231124872334,0.09416227432400867,0.16030880573625164
54,54,2,0,BaselEEPE+,3716047.53,179671.25,2279.66
55,55,2,0,BaselEEPE_rho+,0.0478124471373477,0.005755927456553512,0.00027046845676305224
56,56,2,1,BaselEEPE+,7583373.57,2861054.45,808881.1499999998
57,57,2,1,BaselEEPE_rho+,0.09757131603168293,0.09165641060241753,0.09596906395919698
58,58,2,2,BaselEEPE+,8305936.61,2924383.31,581636.0
59,59,2,2,BaselEEPE_rho+,0.1068681581399972,0.09368520666225587,0.06900774296071988
60,60,2,3,BaselEEPE+,9901045.7,2779290.36,639414.5299999999
